field,raw_value,count
plcyKywdNm,"중소기업,보조금,주거지원,장기미취업청년",1
plcyKywdNm,"금리혜택,중소기업",1
plcyKywdNm,"주거지원,장기미취업청년",1
plcyKywdNm,"맞춤형상담서비스,중소기업,보조금",1
plcyKywdNm,"인턴,보조금,중소기업",1
plcyKywdNm,"인턴,장기미취업청년,교육지원",1
plcyKywdNm,"맞춤형상담서비스,중소기업",1
plcyKywdNm,"금리혜택,바우처",1
plcyKywdNm,"인턴,중소기업,보조금",1
plcyKywdNm,"맞춤형상담서비스,장기미취업청년,보조금,교육지원",1
plcyKywdNm,"출산,보조금,육아,바우처,금리혜택",1
plcyKywdNm,"금리혜택,바우처,보조금",1
plcyKywdNm,"청년가장,바우처,보조금",1
plcyKywdNm,"바우처,보조금,금리혜택",1
plcyKywdNm,"인턴,벤처,교육지원",1
plcyKywdNm,"교육지원,중소기업,벤처",1
plcyKywdNm,"보조금,공공임대주택,금리혜택,바우처",1
plcyKywdNm,"공공임대주택,바우처",1
plcyKywdNm,"중소기업,벤처,인턴",1
plcyKywdNm,"금리혜택,대출,중소기업",1
plcyKywdNm,"교육지원,맞춤형상담서비스,보조금",1
plcyKywdNm,"벤처,맞춤형상담서비스,중소기업",1
plcyKywdNm,"벤처,인턴",1
plcyKywdNm,"교육지원,인턴,맞춤형상담서비스,벤처",1
plcyKywdNm,"출산,보조금",1
plcyKywdNm,"바우처,중소기업",1
plcyKywdNm,"벤처,인턴,중소기업",1
plcyKywdNm,"보조금,교육지원,금리혜택",1
plcyKywdNm,"해외진출,맞춤형상담서비스",1
plcyKywdNm,"벤처,교육지원,주거지원",1
plcyKywdNm,"벤처,대출",1
plcyKywdNm,"중소기업,교육지원,맞춤형상담서비스",1
plcyKywdNm,"바우처,대출,보조금",1
plcyKywdNm,"바우처,보조금,대출",1
plcyKywdNm,"벤처,교육지원,중소기업",1
plcyKywdNm,"해외진출,보조금,인턴",1
plcyKywdNm,"금리혜택,교육지원",1
plcyKywdNm,"보조금,금리혜택,중소기업",1
plcyKywdNm,"인턴,금리혜택",1
plcyKywdNm,"출산,맞춤형상담서비스",1
plcyKywdNm,"보조금,출산,바우처",1
plcyKywdNm,"중소기업,해외진출,교육지원",1
plcyKywdNm,"금리혜택,교육지원,대출,보조금",1
plcyKywdNm,"중소기업,육아",1
plcyKywdNm,"인턴,벤처,맞춤형상담서비스,교육지원,장기미취업청년,청년가장,중소기업",1
plcyKywdNm,"교육지원,벤처,맞춤형상담서비스",1
plcyKywdNm,"벤처,중소기업,청년가장,장기미취업청년,교육지원,맞춤형상담서비스,인턴",1
plcyKywdNm,"보조금,벤처",1
plcyKywdNm,"대출,출산,보조금",1
plcyKywdNm,"보조금,육아,출산,해외진출",1
plcyKywdNm,"출산,육아,보조금,대출",1
plcyKywdNm,"출산,교육지원",1
plcyKywdNm,"바우처,출산",1
plcyKywdNm,"장기미취업청년,해외진출",1
plcyKywdNm,"맞춤형상담서비스,장기미취업청년,출산,육아,교육지원,청년가장,중소기업,벤처,인턴",1
plcyKywdNm,"중소기업,장기미취업청년,청년가장,벤처",1
plcyKywdNm,"교육지원,중소기업,맞춤형상담서비스",1
plcyKywdNm,"교육지원,보조금,바우처",1
plcyKywdNm,"교육지원,대출,보조금,장기미취업청년",1
plcyKywdNm,"벤처,교육지원,중소기업,해외진출",1
plcyKywdNm,"벤처,중소기업,교육지원",1
plcyKywdNm,"공공임대주택,맞춤형상담서비스",1
plcyKywdNm,"출산,바우처",1
plcyKywdNm,"교육지원,보조금,바우처,금리혜택",1
plcyKywdNm,"맞춤형상담서비스,교육지원,보조금,청년가장",1
plcyKywdNm,"맞춤형상담서비스,교육지원,해외진출",1
plcyKywdNm,"교육지원,맞춤형상담서비스,해외진출,중소기업",1
plcyKywdNm,"인턴,해외진출,교육지원",1
plcyKywdNm,"교육지원,맞춤형상담서비스,벤처,바우처",1
plcyKywdNm,"육아,장기미취업청년,교육지원,인턴",1
plcyKywdNm,"청년가장,출산,육아,교육지원",1
plcyKywdNm,"장기미취업청년,인턴,청년가장",1
plcyKywdNm,"보조금,공공임대주택,맞춤형상담서비스,바우처",1
plcyKywdNm,"벤처,중소기업,인턴",1
plcyKywdNm,"중소기업,벤처,교육지원",1
