method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
Chroma SVD,oy_eval_repair_q0039,application_method,복지문화,예술인지원,1,1,10,106.31170001579449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0042,specific_policy_search,복지문화,건강,1,2,10,106.33739997865632,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0043,support_content,복지문화,예술인지원,1,2,10,100.35309998784214,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0045,required_documents,복지문화,문화활동,1,2,10,87.86919998237863,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0047,specific_policy_search,복지문화,예술인지원,1,1,10,100.45000002719462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0054,application_method,복지문화,건강,1,1,10,95.60580004472286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0056,specific_policy_search,주거,주택 및 거주지,1,1,10,98.62950001843274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_repair_q0066,eligibility,주거,전월세 및 주거급여 지원,1,2,10,87.8662999602966,0.0,0.0,0.0,1.0,0.0,0.5,0.1111111111111111,0.0,0.0,0.0,1.0,0.1111111111111111
Chroma SVD,oy_eval_repair_q0072,support_content,교육,교육비지원,1,2,10,94.62660003919154,0.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333
Chroma SVD,oy_eval_repair_q0073,eligibility,교육,온라인교육,1,4,10,98.28530001686886,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0074,application_method,교육,미래역량강화,1,2,10,86.88590000383556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0075,application_period,교육,온라인교육,1,2,10,90.30809998512268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0076,required_documents,교육,미래역량강화,1,2,10,90.5433000298217,0.0,0.0,1.0,1.0,0.5,0.5,0.25,0.0,0.0,1.0,1.0,0.25
Chroma SVD,oy_eval_repair_q0077,specific_policy_search,교육,교육비지원,1,2,10,92.2603000071831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0080,application_method,교육,교육비지원,2,4,10,98.85830001439899,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0082,required_documents,교육,미래역량강화,1,4,10,99.11589999683201,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0085,application_method,교육,미래역량강화,1,2,10,90.0450000190176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0089,application_period,참여권리,권익보호,1,1,10,87.04200002830476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0099,application_period,참여권리,정책인프라구축,1,1,10,88.30029994715005,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5
Chroma SVD,oy_eval_repair_q0100,required_documents,참여권리,청년국제교류,1,2,10,88.54860003339127,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.5
Chroma SVD,oy_eval_v2r_q0002,support_content,일자리,창업,1,1,10,99.11590005503967,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0,1.0,1.0,0.25
Chroma SVD,oy_eval_v2r_q0003,eligibility,일자리,재직자,1,2,10,89.79279996128753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
